2025-09-12 14:34:10,755 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
2025-09-12 14:34:32,480 - 输入参数: [6.32134365e+04 3.04339735e+04 6.11772626e+01 2.01633547e+01
 9.23463293e+05 9.52477637e+05], 计算结果: 485.6389801453553
2025-09-12 14:34:44,086 - 输入参数: [8.25844523e+04 4.46471380e+03 7.48160899e+01 6.27427833e+01
 3.68217731e+05 4.25310682e+05], 计算结果: 526.2413065144069
2025-09-12 14:34:57,301 - 输入参数: [2.00152989e+04 4.44456340e+03 8.28152629e+01 3.60743057e+01
 7.76079272e+05 8.43579625e+05], 计算结果: 807.7506899625571
2025-09-12 14:35:07,922 - 输入参数: [5.52262257e+04 7.11100695e+04 4.74412632e+01 1.49498706e+01
 9.68317995e+04 2.79404096e+05], 计算结果: 711.1380331824728
2025-09-12 14:35:20,242 - 输入参数: [6.85557218e+04 3.21665069e+04 1.14268723e+01 2.59663521e+01
 8.54251338e+05 4.74742794e+05], 计算结果: 475.3653158936365
2025-09-12 14:35:32,790 - 输入参数: [2.46399843e+04 7.69588621e+04 7.47110862e+00 4.99306304e+01
 3.41322473e+05 9.25815657e+05], 计算结果: 492.39676736404516
2025-09-12 14:35:44,767 - 输入参数: [1.30283431e+04 6.13532259e+04 6.04192113e+01 2.98305747e+01
 8.26629322e+05 1.30068960e+05], 计算结果: 754.9122134162236
2025-09-12 14:35:57,348 - 输入参数: [6.83110990e+04 7.18885820e+04 8.78987718e+01 2.77859168e+01
 6.30211611e+05 5.27860558e+05], 计算结果: 503.0332193408873
2025-09-12 14:36:07,251 - 输入参数: [2.05652464e+04 3.69548983e+04 9.02368432e+01 7.73108726e+01
 6.93472829e+05 1.88220213e+05], 计算结果: 474.18579781402303
2025-09-12 14:36:19,629 - 输入参数: [6.91911099e+04 4.05384643e+03 5.94669541e+01 7.62734893e+01
 3.88781826e+05 5.99984235e+05], 计算结果: 581.5407007652266
2025-09-12 14:36:33,312 - 输入参数: [1.25908732e+04 7.25417495e+04 8.83666630e+01 9.79382999e+01
 9.49351108e+05 8.29299277e+05], 计算结果: 526.4243071530809
2025-09-12 14:36:42,261 - 输入参数: [1.08260302e+04 6.90254350e+03 2.56274558e+00 3.72963741e+01
 7.19826267e+05 1.92693618e+05], 计算结果: 904.8287229372586
2025-09-12 14:36:54,854 - 输入参数: [3.74073586e+04 8.72276394e+04 9.32015691e+01 7.27639564e+01
 5.29993341e+05 6.42826263e+05], 计算结果: 504.94451314530176
2025-09-12 14:37:06,690 - 输入参数: [2.84810376e+04 4.49072252e+04 1.79893338e+01 9.45752743e+00
 3.02611125e+05 6.53094682e+05], 计算结果: 463.14611901219496
2025-09-12 14:37:19,578 - 输入参数: [5.30608322e+04 8.70163005e+04 7.50872045e+01 4.71881853e+01
 7.37508128e+05 5.93321377e+05], 计算结果: 507.43567781471575
2025-09-12 14:37:32,061 - 输入参数: [3.78132621e+04 7.55989173e+04 6.61964992e+00 8.20101019e+01
 5.37638734e+05 5.73090431e+05], 计算结果: 495.89093173021877
2025-09-12 14:37:45,452 - 输入参数: [5.22921209e+04 6.07614966e+04 4.03582295e+01 8.79326952e+01
 2.71789283e+04 6.23373696e+05], 计算结果: 1395.9871166297955
2025-09-12 14:37:57,403 - 输入参数: [3.38986458e+04 4.46709572e+04 6.36521665e+01 1.24576723e+01
 4.43952153e+04 7.21326671e+05], 计算结果: 1060.936595582447
2025-09-12 14:38:09,192 - 输入参数: [3.26085909e+04 5.48629207e+04 8.14261562e+01 1.52156265e+01
 2.65162367e+05 9.27706902e+05], 计算结果: 493.7499671972838
2025-09-12 14:38:21,687 - 输入参数: [4.42462212e+04 4.25406273e+04 8.56622244e+01 2.87253230e+01
 2.97780810e+05 9.08613104e+05], 计算结果: 515.0472297041562
2025-09-12 14:38:35,196 - 输入参数: [3.37046321e+04 7.59274736e+04 1.61642944e+01 6.64674299e+01
 7.02061058e+05 5.93291239e+04], 计算结果: 1204.0784975968636
2025-09-12 14:38:42,190 - 输入参数: [1.61090130e+04 2.48922868e+04 6.11536241e+01 4.16530392e+01
 4.09446417e+05 1.14604404e+05], 计算结果: 454.9854071489707
2025-09-12 14:38:56,109 - 输入参数: [8.99560115e+04 4.29104039e+03 8.81721481e+01 7.49523907e+01
 9.84555837e+05 9.55313750e+05], 计算结果: 550.180949571096
2025-09-12 14:39:09,349 - 输入参数: [6.64763768e+04 2.07755094e+04 7.22809079e+01 6.46691301e-02
 8.91363128e+05 6.35218505e+05], 计算结果: 493.4251285383433
2025-09-12 14:39:19,448 - 输入参数: [6.70936293e+04 3.65742809e+04 8.93618728e+00 5.52689194e+01
 9.69505097e+05 1.24635467e+05], 计算结果: 514.4040787905263
2025-09-12 14:39:30,064 - 输入参数: [3.88543817e+04 2.24036496e+03 3.08764781e+01 8.64805263e+01
 7.10064487e+05 2.69378449e+05], 计算结果: 627.7158290592762
2025-09-12 14:39:39,076 - 输入参数: [2.14833546e+04 1.80415141e+04 8.23401185e+00 6.02293413e+01
 2.47146904e+05 3.34131034e+05], 计算结果: 414.66299960613964
2025-09-12 14:39:52,203 - 输入参数: [9.95428026e+04 4.64865248e+04 4.88977922e+00 2.61371276e+01
 3.35992546e+05 4.09595831e+04], 计算结果: 1441.444172210698
2025-09-12 14:40:04,399 - 输入参数: [9.50898239e+03 8.23040689e+04 6.14640623e+01 8.94889998e+01
 4.11204908e+05 4.26449771e+05], 计算结果: 509.2477986715552
2025-09-12 14:40:16,710 - 输入参数: [1.15051285e+04 1.94482206e+04 5.12893340e+01 4.55526718e+01
 4.88380266e+05 6.58366602e+05], 计算结果: 599.1428459655608
2025-09-12 14:40:28,428 - 输入参数: [7.70858640e+04 7.43758603e+04 3.35916681e+01 3.22310676e+00
 1.20924714e+05 3.05883024e+05], 计算结果: 732.852624006204
2025-09-12 14:40:37,874 - 输入参数: [3.45998097e+04 1.90985655e+04 6.26827278e+01 7.56863636e+01
 2.02814279e+05 3.94730545e+05], 计算结果: 441.23323622926796
2025-09-12 14:40:51,097 - 输入参数: [7.42272304e+04 9.15276330e+04 1.30078744e+01 2.79176422e+01
 1.32793218e+05 8.88769994e+05], 计算结果: 799.1375726261199
2025-09-12 14:40:59,916 - 输入参数: [1.11851034e+04 2.91170956e+04 2.97165649e+01 4.35572598e+01
 3.29614581e+05 2.34136163e+05], 计算结果: 427.96178161243347
2025-09-12 14:41:12,816 - 输入参数: [2.89462797e+04 5.12927729e+04 2.59197716e+01 9.72256302e+01
 7.77592736e+05 5.93013665e+05], 计算结果: 500.6619580392541
2025-09-12 14:41:24,308 - 输入参数: [2.07998524e+04 9.49066036e+04 7.50730784e+01 8.88827464e+01
