2025-09-27 15:37:45,812 - 这次的优化目标是系统的ITAEc，时间间隔0.1秒
2025-09-27 15:38:40,410 - 输入参数: [ 31977.45562729  43157.07289334    789.85816746    847.71547392
 777254.10490529  53144.51240421], 计算结果: 1327.4026188603348
2025-09-27 15:38:53,158 - 输入参数: [6.45263867e+04 8.79315985e+04 6.83541998e+02 2.73800676e+02
 8.21147930e+05 6.09620916e+05], 计算结果: 517.4448401984891
2025-09-27 15:39:05,655 - 输入参数: [8.42464630e+03 4.53768722e+04 1.39541465e+02 2.20509620e+02
 4.44559948e+05 9.80349547e+05], 计算结果: 582.1787527964273
2025-09-27 15:39:17,428 - 输入参数: [2.40640647e+03 9.48276177e+04 2.43328419e+02 6.04325510e+02
 4.34327327e+05 4.00190371e+05], 计算结果: 754.0251916753559
2025-09-27 15:39:28,615 - 输入参数: [2.92454468e+04 5.70200545e+04 2.22082167e+02 4.96217441e+02
 7.96497553e+05 2.87889311e+05], 计算结果: 537.7655627708187
2025-09-27 15:39:40,541 - 输入参数: [6.63442570e+04 3.51069333e+04 3.23973634e+01 1.01055867e+02
 5.43241827e+05 5.25013990e+05], 计算结果: 484.09717415307193
2025-09-27 15:39:52,947 - 输入参数: [2.04540401e+04 8.63024888e+03 3.19139692e+02 3.33975442e+02
 6.79906382e+05 7.68582046e+05], 计算结果: 702.7227699432517
2025-09-27 15:40:03,200 - 输入参数: [4.16418885e+02 1.53251643e+03 8.64096231e+00 4.29523514e+02
 2.31112209e+05 8.41222600e+05], 计算结果: 1342.666483779368
2025-09-27 15:40:16,499 - 输入参数: [9.46922395e+04 2.11435820e+04 7.88854139e+02 4.96524071e+02
 9.34399197e+05 9.82264059e+05], 计算结果: 526.9459320064813
2025-09-27 15:40:29,513 - 输入参数: [5.31327021e+04 8.58722448e+04 8.61202290e+02 3.50447359e+02
 8.94678126e+05 7.88356042e+05], 计算结果: 509.81346903854626
2025-09-27 15:40:40,413 - 输入参数: [6.26550439e+04 5.92931644e+04 2.97772136e+02 8.80892086e+02
 2.54869021e+05 4.84315589e+05], 计算结果: 521.7485989591012
2025-09-27 15:40:50,174 - 输入参数: [7.30555496e+03 5.53597452e+04 9.11620906e+02 8.98807250e+01
 3.76137943e+05 2.54079338e+05], 计算结果: 762.7092548716977
2025-09-27 15:40:56,771 - 输入参数: [1.48873233e+04 6.24381133e+04 4.25776168e+02 4.12363218e+02
 1.06635590e+05 4.77901634e+05], 计算结果: 558.1076501026322
2025-09-27 15:41:08,796 - 输入参数: [3.26932195e+04 8.15268188e+04 3.65964919e+02 6.81265432e+02
 4.50328211e+05 6.93917560e+05], 计算结果: 525.6189534010329
2025-09-27 15:41:23,164 - 输入参数: [5.65111293e+04 4.83202785e+04 2.78314349e+02 6.58045829e+02
 7.37190726e+05 8.92804263e+03], 计算结果: 2581.0804482393723
2025-09-27 15:41:35,386 - 输入参数: [5.68985320e+04 8.14263085e+04 5.79273652e+02 8.54304304e+01
 6.59634001e+05 6.29534104e+05], 计算结果: 514.1892900417533
2025-09-27 15:41:46,952 - 输入参数: [ 96876.89833739  76530.55272851    657.86695525    743.47783666
